fips,State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Alabama,293.32,373.84,497.93,543.25,530.92,550.49,562.94,601.01,630.32,606.1,598.65
2,Alaska,603.26,656.21,675.32,718.53,708.3,739.61,847.33,794.09,746.74,785.44,787.48
4,Arizona,292.14,357.94,390.39,392.02,380.9,394.21,420.21,451.18,464.52,461.17,488.89
5,Arkansas,285.69,306.1,293.82,351.1,494.99,496.74,528.65,546.16,563.12,521.66,526.77
6,California,339.23,360.05,370.77,386.8,403.36,395.84,402.33,440.97,439.99,436.02,459.21
8,Colorado,307.25,330.79,343.19,353.51,387.57,397.89,386.68,426.2,416.98,386.95,414.99
9,Connecticut,272.61,314.48,312.31,327.04,357.1,344.69,353.91,381.18,361.75,352.91,368.99
10,Delaware,355.75,402.12,423.56,402.31,443.02,533.03,497.14,496.95,483.92,563.11,483.18
11,District of Columbia,628.16,664.28,572.46,1020.58,1161.81,1091.12,925.84,1065.06,1070.81,988.79,814.29
12,Florida,244.6,243.8,270.57,315.32,386.28,392.79,397.21,398.51,401.9,409.09,429.8
13,Georgia,385.84,364.95,412.59,446.69,435.74,402.75,462.73,548.2,523.97,506.62,516.48
15,Hawaii,420.24,430.44,431.35,440.94,464.37,465.19,442.18,436.5,455.36,472.92,457.18
16,Idaho,199.1,194.39,227.08,246.1,274.38,247.06,267.74,296.03,285.14,335.77,337.56
17,Illinois,371.12,396.12,417.6,431.58,458.58,468.8,471.96,503.61,524.66,494.54,515.63
18,Indiana,293.33,318.34,312.92,324.78,346.33,337.1,351.57,425.75,450.99,426.35,433.84
19,Iowa,235.27,249.13,281.35,289.25,312.13,312.71,346.05,349.57,370.08,354.42,381.95
20,Kansas,273.92,270.3,283.24,294.67,328.61,372.86,336.51,369.11,385.84,380.52,384.11
21,Kentucky,155.82,199.5,211.98,207.22,284.12,307.55,376.71,379.16,393.05,388.48,400.38
22,Louisiana,477.55,375.32,411.92,444.7,509.8,613.52,600.48,676.7,594.39,621.32,625.93
23,Maine,160.41,170.26,174.49,192.76,198.11,184.4,194.38,232.87,256.55,258.6,265.6
24,Maryland,358.92,326.41,387.8,411.81,437.45,415.25,453.15,466.71,450.13,450.39,462.13
25,Massachusetts,206.19,224.98,238.74,250.06,269.08,292.35,321.57,345.26,353.77,346.52,316.71
26,Michigan,407.87,381.43,362.92,369.21,447.11,456.73,499.38,500.82,480.32,452.11,446.59
27,Minnesota,227.45,237.47,250.33,258.06,274.9,269.59,288.35,316.23,334.59,345.75,367.1
28,Mississippi,649.78,728.09,652.87,742.98,723.23,799.09,721.77,712.3,772.28,583.85,655.12
29,Missouri,370.47,385.69,393.35,396.5,419.8,432.03,434.95,463.96,462.22,452.14,462.94
30,Montana,280.62,255.97,279.58,286.05,319.61,306.16,311.5,341.21,380.74,376,412.94
31,Nebraska,297.79,289.46,302.94,288.41,311.98,302.4,279.74,367.41,362.22,382.18,399.62
32,Nevada,286.02,303.01,336.44,370.47,371.9,379.97,357.89,385.74,403.63,421.95,423.81
33,New Hampshire,133.59,140.62,151.88,156.18,160.28,158.69,187.01,228.34,232.6,235.67,270.65
34,New Jersey,200.44,219.65,231.14,247.8,257.88,275.12,295.75,296.07,306.71,317.41,335.17
35,New Mexico,474.28,438.4,502.61,480.17,466.55,472.07,568.38,545.72,570.31,587.07,553.54
36,New York,306.89,332.07,355.93,417.85,453.23,471.06,515.62,527.05,513.45,487.13,502.51
37,North Carolina,339.14,359.12,379.55,337.74,404.98,434.93,439.06,565.19,517.78,491.47,478.59
38,North Dakota,284.85,261.51,286.07,279.5,299.31,301.62,356.68,357.35,415.65,405.31,477.06
39,Ohio,336.56,370.3,344.33,409.83,399.34,413.27,441.69,456,460.32,459.1,474.11
40,Oklahoma,294.19,377.89,362.99,346.36,404.22,406.29,381.04,374.52,441.41,474.68,536.47
41,Oregon,241.75,247.68,258.79,262.82,283.48,300.52,322.39,352.36,345.01,360.68,394.35
42,Pennsylvania,306.47,299.76,317.38,341.4,339.25,341.42,373.73,414.56,430.58,407.22,395.22
44,Rhode Island,318.15,303.29,293.83,300.05,315.48,343.24,330.62,394.37,410.65,410.08,413.6
45,South Carolina,437.84,429.27,516.68,597.63,585.18,581.9,572.82,616.83,573.38,534.78,585.51
46,South Dakota,328.45,347.71,336.61,328.93,367.08,369.53,390.94,413.19,470.87,464.8,493.09
47,Tennessee,381.55,386.92,419.29,436.37,451.14,471.87,446.05,485.76,503.17,467.49,473.99
48,Texas,311.64,314.11,321.19,358.31,414.41,427.13,476.48,486.31,487.11,487.38,495.57
49,Utah,161.45,186.35,199.68,216.27,220.03,220.68,241.98,251.52,266.7,259.75,283.43
50,Vermont,182.98,153.6,190.89,170.14,191.54,190.75,200.88,236.74,275.39,293.95,356.67
51,Virginia,289.58,299.02,314.88,318.58,401.04,391.14,384.26,447.25,426.55,402.87,435.79
53,Washington,284.26,296.07,278.61,290.39,325.96,320.91,317.42,340.85,356.62,357.89,381.23
54,West Virginia,151.71,161.98,159.81,174.78,182.7,198.05,209.18,231.49,258.16,277.08,254.49
55,Wisconsin,348.57,369.19,362.76,348.61,372,367.44,408.48,430.78,414.33,410.29,402.94
56,Wyoming,213.61,230.32,276.11,228.95,295.49,360.67,374.89,368.03,364.67,343.94,338.28
