fips,State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Alabama,180.99,205.93,231.81,235.12,208.78,159.07,164.49,185.89,191.23,172.7,158.32
2,Alaska,86.51,90.41,94.02,84.71,84.22,141.74,179.24,136.15,99.25,153.44,182.42
4,Arizona,70.7,83.31,96.39,79.83,53.01,49.27,50.83,70.37,88.63,96.76,116.95
5,Arkansas,150.26,161.02,153.12,146.92,158.05,154.35,163.48,159.4,145.97,135.26,153.21
6,California,83.75,94.58,92.01,85.26,69.78,62.59,70.65,72.72,88,99.41,118.23
8,Colorado,66.37,69.11,77.73,69.44,76.02,56.14,55.42,46.18,54.4,53.53,60.17
9,Connecticut,81.69,78.34,74.47,66.44,79.94,72.71,71.88,68.39,59.35,79.5,64.71
10,Delaware,107.66,108.24,173.99,149.52,119.69,109.7,112.48,91.17,98.03,150.15,138.16
11,District of Columbia,462.85,389.09,323.29,401.33,446.41,427.08,349.16,415.7,378.29,382.4,289.12
12,Florida,106.8,113.69,132.52,127.77,126.98,112.44,107.15,103.23,100.75,106.21,106.96
13,Georgia,177.99,173.09,208.37,185.81,166.76,138.58,162.25,165.79,153.45,141.46,137
15,Hawaii,94.47,80.3,68.84,51.35,47.35,48.72,55.8,49.83,58.54,51.14,72.58
16,Idaho,7.32,8.19,13.98,17.61,12.27,7.05,9.31,10.22,10.47,13.09,27.48
17,Illinois,162.01,156.84,157.31,161.94,160.24,154.59,122.74,132.2,140.74,127.67,123.78
18,Indiana,109.34,128.65,137.81,138.12,137.2,106.12,99.97,100.61,112.08,108.71,110.85
19,Iowa,42.21,54.14,65.93,64.52,56.62,55.12,59.19,62.7,65.25,47.63,53.1
20,Kansas,92.93,94.91,79.95,82.2,81.15,88.87,73.04,76.94,77.2,74.67,88.74
21,Kentucky,66.4,70.18,77.74,81.25,106.36,88.59,100.04,103.2,97.62,97.76,98.7
22,Louisiana,232.05,210.12,251.67,256.75,213.34,199.77,184.5,196.77,192.81,187.42,194.62
23,Maine,15.94,10.75,10.37,8.96,7.29,10.85,12.12,20.48,34.31,18.44,17.69
24,Maryland,149.26,125.53,130.19,120.44,118.18,111.92,128.26,110.72,96.59,100.97,102.84
25,Massachusetts,47.61,39.63,37.69,41.77,32.72,29.91,37.92,35.7,39.53,46.32,56.85
26,Michigan,171.82,174.19,154.9,153.21,169.17,145.84,137.65,130.41,127.14,106.7,97.82
27,Minnesota,57.97,67.84,63.92,66.55,58.18,43.73,39.95,42.73,57.09,71.43,74.94
28,Mississippi,246.75,245.49,258.06,284.85,254.95,245.29,208.78,195.2,230.26,170.37,188.02
29,Missouri,160.18,163.01,174.65,168,135.56,108.36,119.54,129.8,131,124.85,122.22
30,Montana,9.39,16.89,20.54,12.74,12.51,8.21,10.31,8.52,10.74,22.07,42.75
31,Nebraska,65.48,65.67,80.13,80.58,81.81,76.48,64.99,73.32,76.8,73.21,77.92
32,Nevada,131.71,119.18,111.8,91.88,83.53,65.3,63.99,73.44,81.99,97.2,114.19
33,New Hampshire,10.23,13.51,13.69,10.49,7.6,8.53,11.47,9.86,11.13,9.14,17.08
34,New Jersey,76.98,65.63,62.88,69.92,61,54.68,66.45,82.94,84.28,78.64,74.45
35,New Mexico,68.62,80.48,88.66,91.17,70.65,53.84,59.68,88.32,90.24,91.98,107.66
36,New York,97.28,91.98,90.41,91.65,87.74,86.99,94.53,106.31,115.23,101.08,105.34
37,North Carolina,177.89,173.58,195.47,183.93,172.4,146.79,147.09,179.94,146.36,138.71,146.33
38,North Dakota,17.34,20.1,24.06,18.13,22.29,23.19,30.33,36.55,47.74,68.01,95.94
39,Ohio,176.19,179.93,165.54,182.57,143.45,137.18,142.63,144.88,142.87,143.63,140.33
40,Oklahoma,126.38,147.35,138.33,133.44,142.11,126.55,116.39,108.22,116.41,137.72,159.35
41,Oregon,36.22,42.9,39.48,32.98,32.32,29.09,28.09,38.46,37.54,43.99,58.98
42,Pennsylvania,90.57,90.28,92.17,102.17,88.93,80.4,101.42,108.02,120.54,108.54,99.48
44,Rhode Island,75.51,40.7,47.58,37.91,29.22,30.57,27.65,34.24,48.27,43.18,56.11
45,South Carolina,217.79,200.37,238.47,233.79,210.19,181.81,172.12,178.06,161.14,150.43,172.07
46,South Dakota,39.44,45.24,46.94,32.65,46.63,42.22,57.36,72.93,84.6,92.79,105.58
47,Tennessee,143.62,144.29,160.53,155.34,141.27,125.87,112.18,119.73,140.78,113.53,110.79
48,Texas,108.2,114.16,129.45,133.91,132.28,118.17,126.34,120.45,124.47,127.1,133.42
49,Utah,25.24,29.44,34.82,31.04,17.43,12.25,11.22,9.83,16.78,32.78,49.67
50,Vermont,13.84,9.63,11.54,10.3,5.96,8.04,9.11,7.66,15.81,15.48,13.4
51,Virginia,114.67,110.22,84.71,81.22,132.89,98.69,92.41,80.37,84.04,84.14,99.75
53,Washington,45.29,59.46,66.15,56.47,47.67,34.26,42.56,40.07,46.95,62.67,89.24
54,West Virginia,49.08,42.38,52.41,51.32,41.11,26.1,31.25,42.9,44.79,57.33,45.35
55,Wisconsin,91.49,105.92,124.48,120.3,107.96,91.5,89.5,83.81,82.15,80.01,70.92
56,Wyoming,11.65,17.08,23.3,15.49,23.28,13.6,7.1,8.1,7.63,11.33,19.91
